Datetime,Open,High,Low,Close,Volume
2025-11-18 00:00:00+00:00,92100.6,92116.0,92031.83,92064.0,4.45588581
2025-11-18 00:01:00+00:00,92063.21,92063.21,91972.0,92033.98,5.74039848
2025-11-18 00:02:00+00:00,92033.98,92137.67,92033.98,92093.89,7.63583854
2025-11-18 00:03:00+00:00,92093.88,92163.96,92093.86,92150.83,4.69092639
2025-11-18 00:04:00+00:00,92150.83,92168.34,92094.79,92096.01,6.59284066
2025-11-18 00:05:00+00:00,92096.01,92243.99,92096.0,92129.37,21.2547362
2025-11-18 00:06:00+00:00,92129.37,92174.65,92093.9,92163.96,4.46093128
2025-11-18 00:07:00+00:00,92163.96,92187.71,92135.41,92164.15,8.21635278
2025-11-18 00:08:00+00:00,92164.15,92207.99,92158.38,92168.35,4.47569218
2025-11-18 00:09:00+00:00,92168.35,92247.94,92168.35,92233.89,5.32397227
2025-11-18 00:10:00+00:00,92233.89,92233.89,92189.0,92200.57,4.37316207
2025-11-18 00:11:00+00:00,92200.57,92213.98,92148.01,92154.52,8.88210246
2025-11-18 00:12:00+00:00,92154.52,92186.57,92154.51,92154.51,3.39871002
2025-11-18 00:13:00+00:00,92154.51,92159.99,92110.94,92115.93,11.79623888
2025-11-18 00:14:00+00:00,92115.92,92120.16,92068.8,92106.0,7.50154993
2025-11-18 00:15:00+00:00,92106.0,92160.46,92106.0,92158.44,7.54869034
2025-11-18 00:16:00+00:00,92158.43,92158.43,92082.04,92106.0,3.55163576
2025-11-18 00:17:00+00:00,92106.0,92157.99,92085.87,92095.97,4.52605654
2025-11-18 00:18:00+00:00,92095.96,92095.96,91870.28,91977.97,11.933426
2025-11-18 00:19:00+00:00,91977.98,91991.99,91926.39,91951.99,5.17283319
2025-11-18 00:20:00+00:00,91951.99,91996.99,91945.97,91990.7,6.75172324
2025-11-18 00:21:00+00:00,91990.7,91994.66,91949.34,91976.26,3.32542615
2025-11-18 00:22:00+00:00,91976.26,92083.04,91976.26,92075.99,5.68651848
2025-11-18 00:23:00+00:00,92075.99,92139.3,92050.09,92136.0,1.55199896
2025-11-18 00:24:00+00:00,92136.0,92197.26,92120.17,92164.98,3.48229293
2025-11-18 00:25:00+00:00,92164.98,92172.72,92088.0,92088.0,5.64160094
2025-11-18 00:26:00+00:00,92087.98,92087.99,92022.0,92023.81,3.77487007
2025-11-18 00:27:00+00:00,92023.78,92026.51,91900.01,91900.01,5.98653406
2025-11-18 00:28:00+00:00,91900.0,91966.51,91888.31,91936.18,6.09556742
2025-11-18 00:29:00+00:00,91936.21,91945.98,91900.5,91913.09,3.24879176
2025-11-18 00:30:00+00:00,91913.09,91959.02,91910.0,91918.69,6.39920807
2025-11-18 00:31:00+00:00,91918.69,91946.93,91819.51,91861.94,9.43711113
2025-11-18 00:32:00+00:00,91861.94,91861.95,91750.0,91767.52,7.04860285
2025-11-18 00:33:00+00:00,91769.76,91793.32,91739.11,91755.97,4.13676181
2025-11-18 00:34:00+00:00,91754.0,91792.79,91700.01,91702.9,13.38727348
2025-11-18 00:35:00+00:00,91702.89,91767.98,91643.87,91747.98,11.19637137
2025-11-18 00:36:00+00:00,91751.96,91768.0,91685.02,91741.11,13.28322509
2025-11-18 00:37:00+00:00,91747.27,91791.65,91734.73,91734.73,6.26560144
2025-11-18 00:38:00+00:00,91734.73,91781.76,91664.26,91708.7,13.33945851
2025-11-18 00:39:00+00:00,91704.1,91736.89,91588.0,91590.81,11.50560148
2025-11-18 00:40:00+00:00,91590.0,91647.57,91536.0,91547.98,5.0680246
2025-11-18 00:41:00+00:00,91547.98,91565.05,91321.65,91378.9,43.9120769
2025-11-18 00:42:00+00:00,91378.89,91432.47,91263.12,91400.0,14.86725575
2025-11-18 00:43:00+00:00,91399.99,91414.94,91203.5,91260.0,11.61644011
2025-11-18 00:44:00+00:00,91260.0,91336.0,91219.2,91307.0,9.61088276
2025-11-18 00:45:00+00:00,91307.0,91362.62,91221.01,91232.0,13.72650636
2025-11-18 00:46:00+00:00,91240.0,91599.72,91087.79,91549.99,53.91876099
2025-11-18 00:47:00+00:00,91555.98,91623.36,91401.84,91592.86,12.09058276
2025-11-18 00:48:00+00:00,91591.6,91791.65,91572.66,91638.0,22.17045289
2025-11-18 00:49:00+00:00,91637.97,91782.31,91637.97,91759.97,17.28538132
2025-11-18 00:50:00+00:00,91753.91,91918.98,91716.78,91826.7,15.27784928
2025-11-18 00:51:00+00:00,91830.55,91938.28,91830.55,91918.69,10.87418766
2025-11-18 00:52:00+00:00,91923.05,92054.67,91909.93,91992.0,10.44283479
2025-11-18 00:53:00+00:00,91992.0,92034.0,91869.96,91926.41,3.63639881
2025-11-18 00:54:00+00:00,91927.43,91971.95,91901.16,91902.0,7.51963262
2025-11-18 00:55:00+00:00,91906.0,91906.0,91806.0,91829.99,12.12307746
2025-11-18 00:56:00+00:00,91829.99,91842.6,91732.32,91779.88,32.78867096
2025-11-18 00:57:00+00:00,91779.87,91931.82,91769.99,91931.82,23.35616173
2025-11-18 00:58:00+00:00,91936.2,92091.91,91883.65,92084.0,22.33231479
2025-11-18 00:59:00+00:00,92084.44,92100.0,92015.86,92055.99,15.19285082
2025-11-18 01:00:00+00:00,92061.96,92099.99,91982.56,92021.44,20.39845396
2025-11-18 01:01:00+00:00,92021.43,92100.0,92013.99,92069.98,18.82433313
2025-11-18 01:02:00+00:00,92063.04,92084.69,92008.27,92053.99,4.91973639
2025-11-18 01:03:00+00:00,92052.0,92080.0,91873.23,91899.99,6.54415996
